age,age_group,job,marital,education,balance,housing,loan,contact,month,month_number,duration,campaign,campaign_contact_group,pdays,previous,poutcome,previously_contacted,conversion,y
55,46-55,blue-collar,married,secondary,383,no,no,unknown,may,5,287,1,1 Contact,-1,0,unknown,No,0,no
60,56-65,retired,married,tertiary,81,yes,no,unknown,may,5,101,1,1 Contact,-1,0,unknown,No,0,no
39,36-45,technician,married,secondary,0,yes,no,unknown,may,5,203,1,1 Contact,-1,0,unknown,No,0,no
46,46-55,management,married,tertiary,229,yes,no,unknown,may,5,197,1,1 Contact,-1,0,unknown,No,0,no
44,36-45,blue-collar,married,secondary,-674,yes,no,unknown,may,5,257,1,1 Contact,-1,0,unknown,No,0,no
53,46-55,blue-collar,married,primary,90,no,no,unknown,may,5,124,1,1 Contact,-1,0,unknown,No,0,no
52,46-55,blue-collar,married,primary,128,yes,no,unknown,may,5,229,1,1 Contact,-1,0,unknown,No,0,no
59,56-65,blue-collar,married,primary,179,yes,no,unknown,may,5,55,3,3 Contacts,-1,0,unknown,No,0,no
27,26-35,technician,single,tertiary,0,yes,no,unknown,may,5,400,1,1 Contact,-1,0,unknown,No,0,no
44,36-45,blue-collar,married,secondary,54,yes,no,unknown,may,5,197,1,1 Contact,-1,0,unknown,No,0,no
47,46-55,technician,married,tertiary,151,yes,no,unknown,may,5,190,1,1 Contact,-1,0,unknown,No,0,no
34,26-35,admin.,married,secondary,61,no,yes,unknown,may,5,21,1,1 Contact,-1,0,unknown,No,0,no
59,56-65,retired,single,secondary,30,yes,no,unknown,may,5,514,1,1 Contact,-1,0,unknown,No,0,no
45,36-45,management,married,tertiary,523,yes,no,unknown,may,5,849,2,2 Contacts,-1,0,unknown,No,0,no
29,26-35,services,divorced,secondary,31,yes,no,unknown,may,5,194,1,1 Contact,-1,0,unknown,No,0,no
46,46-55,technician,divorced,secondary,79,no,no,unknown,may,5,144,1,1 Contact,-1,0,unknown,No,0,no
56,56-65,self-employed,married,primary,-34,yes,yes,unknown,may,5,212,2,2 Contacts,-1,0,unknown,No,0,no
36,36-45,blue-collar,married,primary,448,yes,no,unknown,may,5,286,1,1 Contact,-1,0,unknown,No,0,no
59,56-65,retired,divorced,primary,81,yes,no,unknown,may,5,107,1,1 Contact,-1,0,unknown,No,0,no
44,36-45,blue-collar,married,secondary,144,yes,no,unknown,may,5,247,2,2 Contacts,-1,0,unknown,No,0,no
41,36-45,admin.,married,secondary,351,yes,no,unknown,may,5,518,1,1 Contact,-1,0,unknown,No,0,no
33,26-35,management,single,tertiary,-67,yes,no,unknown,may,5,364,1,1 Contact,-1,0,unknown,No,0,no
59,56-65,management,divorced,tertiary,262,no,no,unknown,may,5,178,1,1 Contact,-1,0,unknown,No,0,no
57,56-65,technician,married,primary,0,no,no,unknown,may,5,98,1,1 Contact,-1,0,unknown,No,0,no
56,56-65,technician,divorced,unknown,56,yes,no,unknown,may,5,439,1,1 Contact,-1,0,unknown,No,0,no
51,46-55,blue-collar,married,secondary,26,yes,no,unknown,may,5,79,1,1 Contact,-1,0,unknown,No,0,no
34,26-35,admin.,married,unknown,3,yes,no,unknown,may,5,120,3,3 Contacts,-1,0,unknown,No,0,no
43,36-45,services,married,secondary,41,yes,yes,unknown,may,5,127,2,2 Contacts,-1,0,unknown,No,0,no
52,46-55,technician,married,tertiary,7,no,yes,unknown,may,5,175,1,1 Contact,-1,0,unknown,No,0,no
33,26-35,technician,single,secondary,105,yes,no,unknown,may,5,262,2,2 Contacts,-1,0,unknown,No,0,no
29,26-35,admin.,single,secondary,818,yes,yes,unknown,may,5,61,1,1 Contact,-1,0,unknown,No,0,no
34,26-35,services,married,secondary,-16,yes,yes,unknown,may,5,78,1,1 Contact,-1,0,unknown,No,0,no
31,26-35,blue-collar,married,secondary,0,yes,no,unknown,may,5,143,1,1 Contact,-1,0,unknown,No,0,no
55,46-55,services,married,secondary,2476,yes,no,unknown,may,5,579,1,1 Contact,-1,0,unknown,No,1,yes
55,46-55,management,married,unknown,1185,no,no,unknown,may,5,677,1,1 Contact,-1,0,unknown,No,0,no
32,26-35,admin.,single,secondary,217,yes,no,unknown,may,5,345,1,1 Contact,-1,0,unknown,No,0,no
38,36-45,technician,single,secondary,1685,yes,no,unknown,may,5,185,1,1 Contact,-1,0,unknown,No,0,no
55,46-55,admin.,single,secondary,802,yes,yes,unknown,may,5,100,2,2 Contacts,-1,0,unknown,No,0,no
28,26-35,unemployed,single,tertiary,0,yes,no,unknown,may,5,125,2,2 Contacts,-1,0,unknown,No,0,no
23,18-25,blue-collar,married,secondary,94,yes,no,unknown,may,5,193,1,1 Contact,-1,0,unknown,No,0,no
32,26-35,technician,single,secondary,0,yes,no,unknown,may,5,136,1,1 Contact,-1,0,unknown,No,0,no
43,36-45,services,single,unknown,0,no,no,unknown,may,5,73,1,1 Contact,-1,0,unknown,No,0,no
32,26-35,blue-collar,married,secondary,517,yes,no,unknown,may,5,528,1,1 Contact,-1,0,unknown,No,0,no
46,46-55,blue-collar,married,secondary,265,yes,no,unknown,may,5,541,1,1 Contact,-1,0,unknown,No,0,no
53,46-55,housemaid,divorced,primary,947,yes,no,unknown,may,5,163,1,1 Contact,-1,0,unknown,No,0,no
34,26-35,self-employed,single,secondary,3,yes,no,unknown,may,5,301,1,1 Contact,-1,0,unknown,No,0,no
57,56-65,unemployed,married,tertiary,42,no,no,unknown,may,5,46,1,1 Contact,-1,0,unknown,No,0,no
37,36-45,blue-collar,married,secondary,37,yes,no,unknown,may,5,204,1,1 Contact,-1,0,unknown,No,0,no
59,56-65,blue-collar,married,secondary,57,yes,no,unknown,may,5,98,1,1 Contact,-1,0,unknown,No,0,no
33,26-35,services,married,secondary,22,yes,no,unknown,may,5,71,1,1 Contact,-1,0,unknown,No,0,no
56,56-65,blue-collar,divorced,primary,8,yes,no,unknown,may,5,157,2,2 Contacts,-1,0,unknown,No,0,no
48,46-55,unemployed,married,secondary,293,yes,no,unknown,may,5,243,1,1 Contact,-1,0,unknown,No,0,no
43,36-45,services,married,primary,3,yes,no,unknown,may,5,186,2,2 Contacts,-1,0,unknown,No,0,no
54,46-55,blue-collar,married,primary,348,yes,no,unknown,may,5,579,2,2 Contacts,-1,0,unknown,No,0,no
51,46-55,blue-collar,married,unknown,-19,yes,no,unknown,may,5,163,2,2 Contacts,-1,0,unknown,No,0,no
26,26-35,student,single,secondary,0,yes,no,unknown,may,5,610,2,2 Contacts,-1,0,unknown,No,0,no
40,36-45,management,married,tertiary,-4,yes,no,unknown,may,5,2033,1,1 Contact,-1,0,unknown,No,0,no
39,36-45,management,married,secondary,18,yes,no,unknown,may,5,85,1,1 Contact,-1,0,unknown,No,0,no
50,46-55,technician,married,primary,139,no,no,unknown,may,5,114,2,2 Contacts,-1,0,unknown,No,0,no
41,36-45,services,married,secondary,0,yes,no,unknown,may,5,114,2,2 Contacts,-1,0,unknown,No,0,no
51,46-55,blue-collar,married,unknown,1883,yes,no,unknown,may,5,57,1,1 Contact,-1,0,unknown,No,0,no
60,56-65,retired,divorced,secondary,216,yes,no,unknown,may,5,238,1,1 Contact,-1,0,unknown,No,0,no
52,46-55,blue-collar,married,secondary,782,yes,no,unknown,may,5,93,3,3 Contacts,-1,0,unknown,No,0,no
48,46-55,blue-collar,married,secondary,904,yes,no,unknown,may,5,128,2,2 Contacts,-1,0,unknown,No,0,no
48,46-55,services,married,unknown,1705,yes,no,unknown,may,5,107,1,1 Contact,-1,0,unknown,No,0,no
39,36-45,technician,single,tertiary,47,yes,no,unknown,may,5,181,1,1 Contact,-1,0,unknown,No,0,no
47,46-55,services,single,secondary,176,yes,no,unknown,may,5,303,2,2 Contacts,-1,0,unknown,No,0,no
40,36-45,blue-collar,married,secondary,1225,yes,no,unknown,may,5,558,5,4-5 Contacts,-1,0,unknown,No,0,no
45,36-45,technician,married,secondary,86,yes,no,unknown,may,5,270,1,1 Contact,-1,0,unknown,No,0,no
26,26-35,admin.,single,secondary,82,yes,no,unknown,may,5,228,1,1 Contact,-1,0,unknown,No,0,no
52,46-55,management,married,tertiary,271,yes,no,unknown,may,5,99,1,1 Contact,-1,0,unknown,No,0,no
54,46-55,technician,married,secondary,1378,yes,no,unknown,may,5,240,1,1 Contact,-1,0,unknown,No,0,no
54,46-55,admin.,married,tertiary,184,no,no,unknown,may,5,673,2,2 Contacts,-1,0,unknown,No,1,yes
50,46-55,blue-collar,married,primary,0,no,no,unknown,may,5,233,3,3 Contacts,-1,0,unknown,No,0,no
35,26-35,blue-collar,married,secondary,0,yes,no,unknown,may,5,1056,1,1 Contact,-1,0,unknown,No,0,no
44,36-45,services,married,secondary,1357,yes,yes,unknown,may,5,250,1,1 Contact,-1,0,unknown,No,0,no
53,46-55,entrepreneur,married,unknown,19,yes,no,unknown,may,5,252,1,1 Contact,-1,0,unknown,No,0,no
35,26-35,retired,single,primary,434,no,no,unknown,may,5,138,1,1 Contact,-1,0,unknown,No,0,no
60,56-65,admin.,divorced,secondary,92,yes,no,unknown,may,5,130,1,1 Contact,-1,0,unknown,No,0,no
53,46-55,admin.,divorced,secondary,1151,yes,no,unknown,may,5,412,1,1 Contact,-1,0,unknown,No,0,no
48,46-55,unemployed,married,secondary,41,yes,no,unknown,may,5,179,2,2 Contacts,-1,0,unknown,No,0,no
34,26-35,technician,married,secondary,51,yes,no,unknown,may,5,19,2,2 Contacts,-1,0,unknown,No,0,no
54,46-55,services,married,secondary,214,yes,no,unknown,may,5,458,2,2 Contacts,-1,0,unknown,No,0,no
51,46-55,management,married,secondary,1161,yes,no,unknown,may,5,717,1,1 Contact,-1,0,unknown,No,0,no
31,26-35,services,married,tertiary,37,yes,no,unknown,may,5,313,1,1 Contact,-1,0,unknown,No,0,no
35,26-35,technician,divorced,secondary,787,yes,no,unknown,may,5,683,2,2 Contacts,-1,0,unknown,No,0,no
35,26-35,services,married,secondary,59,yes,no,unknown,may,5,1077,1,1 Contact,-1,0,unknown,No,0,no
38,36-45,technician,married,secondary,253,yes,no,unknown,may,5,416,1,1 Contact,-1,0,unknown,No,0,no
36,36-45,admin.,married,tertiary,211,yes,no,unknown,may,5,146,2,2 Contacts,-1,0,unknown,No,0,no
58,56-65,retired,married,primary,235,yes,no,unknown,may,5,167,1,1 Contact,-1,0,unknown,No,0,no
40,36-45,services,divorced,unknown,4384,yes,no,unknown,may,5,315,1,1 Contact,-1,0,unknown,No,0,no
54,46-55,management,married,secondary,4080,no,no,unknown,may,5,140,1,1 Contact,-1,0,unknown,No,0,no
34,26-35,blue-collar,single,secondary,53,yes,yes,unknown,may,5,346,1,1 Contact,-1,0,unknown,No,0,no
31,26-35,management,single,tertiary,0,yes,no,unknown,may,5,562,1,1 Contact,-1,0,unknown,No,0,no
51,46-55,retired,married,secondary,2127,yes,no,unknown,may,5,172,1,1 Contact,-1,0,unknown,No,0,no
33,26-35,management,married,tertiary,377,yes,no,unknown,may,5,217,1,1 Contact,-1,0,unknown,No,0,no
55,46-55,management,married,tertiary,73,yes,no,unknown,may,5,142,2,2 Contacts,-1,0,unknown,No,0,no
42,36-45,admin.,married,secondary,445,yes,no,unknown,may,5,67,1,1 Contact,-1,0,unknown,No,0,no
34,26-35,blue-collar,married,secondary,243,yes,no,unknown,may,5,291,1,1 Contact,-1,0,unknown,No,0,no
33,26-35,blue-collar,single,secondary,307,yes,no,unknown,may,5,309,2,2 Contacts,-1,0,unknown,No,0,no
38,36-45,services,married,secondary,155,yes,no,unknown,may,5,248,1,1 Contact,-1,0,unknown,No,0,no
50,46-55,technician,divorced,tertiary,173,no,yes,unknown,may,5,98,1,1 Contact,-1,0,unknown,No,0,no
43,36-45,management,married,tertiary,400,yes,no,unknown,may,5,256,1,1 Contact,-1,0,unknown,No,0,no
61,56-65,blue-collar,divorced,primary,1428,yes,no,unknown,may,5,82,2,2 Contacts,-1,0,unknown,No,0,no
47,46-55,admin.,married,secondary,219,yes,no,unknown,may,5,577,1,1 Contact,-1,0,unknown,No,0,no
48,46-55,self-employed,married,tertiary,7,yes,no,unknown,may,5,286,1,1 Contact,-1,0,unknown,No,0,no
44,36-45,blue-collar,married,secondary,575,yes,no,unknown,may,5,477,1,1 Contact,-1,0,unknown,No,0,no
35,26-35,student,single,unknown,298,yes,no,unknown,may,5,611,2,2 Contacts,-1,0,unknown,No,0,no
35,26-35,services,married,secondary,0,yes,no,unknown,may,5,471,1,1 Contact,-1,0,unknown,No,0,no
50,46-55,services,married,secondary,5699,yes,no,unknown,may,5,381,2,2 Contacts,-1,0,unknown,No,0,no
41,36-45,management,married,tertiary,176,yes,yes,unknown,may,5,42,1,1 Contact,-1,0,unknown,No,0,no
41,36-45,management,married,tertiary,517,yes,no,unknown,may,5,251,1,1 Contact,-1,0,unknown,No,0,no
39,36-45,services,single,unknown,257,yes,no,unknown,may,5,408,1,1 Contact,-1,0,unknown,No,0,no
42,36-45,retired,married,secondary,56,yes,no,unknown,may,5,215,1,1 Contact,-1,0,unknown,No,0,no
38,36-45,blue-collar,married,secondary,-390,yes,no,unknown,may,5,287,1,1 Contact,-1,0,unknown,No,0,no
53,46-55,retired,married,secondary,330,yes,no,unknown,may,5,216,2,2 Contacts,-1,0,unknown,No,0,no
59,56-65,housemaid,divorced,primary,195,no,no,unknown,may,5,366,2,2 Contacts,-1,0,unknown,No,0,no
36,36-45,services,married,secondary,301,yes,no,unknown,may,5,210,1,1 Contact,-1,0,unknown,No,0,no
54,46-55,blue-collar,married,primary,-41,yes,no,unknown,may,5,288,1,1 Contact,-1,0,unknown,No,0,no
40,36-45,technician,married,tertiary,483,yes,no,unknown,may,5,168,1,1 Contact,-1,0,unknown,No,0,no
47,46-55,unknown,married,unknown,28,no,no,unknown,may,5,338,2,2 Contacts,-1,0,unknown,No,0,no
53,46-55,unemployed,married,unknown,13,no,no,unknown,may,5,410,3,3 Contacts,-1,0,unknown,No,0,no
46,46-55,housemaid,married,primary,965,no,no,unknown,may,5,177,1,1 Contact,-1,0,unknown,No,0,no
39,36-45,management,married,tertiary,378,yes,yes,unknown,may,5,127,2,2 Contacts,-1,0,unknown,No,0,no
40,36-45,unemployed,married,secondary,219,yes,no,unknown,may,5,357,1,1 Contact,-1,0,unknown,No,0,no
28,26-35,blue-collar,married,primary,324,yes,no,unknown,may,5,175,1,1 Contact,-1,0,unknown,No,0,no
35,26-35,entrepreneur,divorced,secondary,-69,yes,no,unknown,may,5,300,1,1 Contact,-1,0,unknown,No,0,no
55,46-55,retired,married,secondary,0,no,yes,unknown,may,5,136,1,1 Contact,-1,0,unknown,No,0,no
43,36-45,technician,divorced,unknown,205,yes,no,unknown,may,5,1419,1,1 Contact,-1,0,unknown,No,0,no
48,46-55,blue-collar,married,primary,278,yes,no,unknown,may,5,125,2,2 Contacts,-1,0,unknown,No,0,no
58,56-65,management,married,unknown,1065,yes,no,unknown,may,5,213,3,3 Contacts,-1,0,unknown,No,0,no
33,26-35,management,single,tertiary,34,yes,no,unknown,may,5,27,1,1 Contact,-1,0,unknown,No,0,no
36,36-45,blue-collar,married,unknown,1033,no,no,unknown,may,5,238,2,2 Contacts,-1,0,unknown,No,0,no
53,46-55,services,divorced,secondary,1467,yes,no,unknown,may,5,124,1,1 Contact,-1,0,unknown,No,0,no
47,46-55,blue-collar,married,primary,-12,yes,no,unknown,may,5,18,1,1 Contact,-1,0,unknown,No,0,no
31,26-35,services,married,secondary,388,yes,no,unknown,may,5,730,2,2 Contacts,-1,0,unknown,No,0,no
57,56-65,entrepreneur,married,secondary,294,yes,no,unknown,may,5,746,2,2 Contacts,-1,0,unknown,No,0,no
53,46-55,blue-collar,married,unknown,1827,no,no,unknown,may,5,121,1,1 Contact,-1,0,unknown,No,0,no
55,46-55,blue-collar,married,primary,627,yes,no,unknown,may,5,247,1,1 Contact,-1,0,unknown,No,0,no
45,36-45,blue-collar,married,primary,25,yes,no,unknown,may,5,40,1,1 Contact,-1,0,unknown,No,0,no
53,46-55,admin.,divorced,secondary,315,yes,no,unknown,may,5,181,2,2 Contacts,-1,0,unknown,No,0,no
37,36-45,blue-collar,married,primary,0,yes,no,unknown,may,5,79,1,1 Contact,-1,0,unknown,No,0,no
44,36-45,admin.,divorced,secondary,66,yes,no,unknown,may,5,206,1,1 Contact,-1,0,unknown,No,0,no
49,46-55,blue-collar,divorced,primary,-9,yes,yes,unknown,may,5,389,1,1 Contact,-1,0,unknown,No,0,no
46,46-55,technician,married,secondary,349,yes,yes,unknown,may,5,127,1,1 Contact,-1,0,unknown,No,0,no
43,36-45,entrepreneur,married,unknown,100,yes,no,unknown,may,5,702,1,1 Contact,-1,0,unknown,No,0,no
38,36-45,admin.,married,secondary,0,no,no,unknown,may,5,151,1,1 Contact,-1,0,unknown,No,0,no
43,36-45,technician,married,secondary,434,yes,no,unknown,may,5,117,1,1 Contact,-1,0,unknown,No,0,no
